# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "RNA_seq_workflow/annotation/Hordeum_vulgare.MorexV3_pseudomolecules_assembly.60.chr.gff3" "-o" "RNA_seq_workflow/output/4_final_counts/gene_counts.txt" "-t" "gene" "-g" "gene_id" "-p" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437484.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437485.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437482.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437483.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437480.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437481.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437478.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437479.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437484.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437485.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437482.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437483.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437480.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437481.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437478.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437479.sorted.bam
HORVU.MOREX.r3.3HG0259600	3H	233062875	233063648	+	774	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0259630	3H	233919250	233920243	-	994	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0259650	3H	234147418	234148013	+	596	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0259700	3H	235473190	235474730	-	1541	133	103	131	106	79	96	143	102
HORVU.MOREX.r3.3HG0259870	3H	237634269	237650221	-	15953	58	39	39	31	29	44	14	39
HORVU.MOREX.r3.3HG0259910	3H	237733151	237733813	-	663	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0259970	3H	238021400	238048633	-	27234	1892	1469	1421	1315	1281	1550	1447	1541
HORVU.MOREX.r3.3HG0259980	3H	238130313	238131110	-	798	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0259990	3H	238646819	238647319	+	501	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0260000	3H	238661956	238673842	+	11887	2182	1249	1960	1468	1219	1641	1424	1722
HORVU.MOREX.r3.3HG0260010	3H	238738475	238739227	+	753	0	0	0	0	0	0	1	0
HORVU.MOREX.r3.3HG0260070	3H	239099598	239142396	-	42799	844	1004	797	548	881	1034	782	884
HORVU.MOREX.r3.3HG0260130	3H	239392099	239447637	-	55539	385	324	278	272	304	331	315	334
HORVU.MOREX.r3.3HG0260160	3H	239903745	239938328	-	34584	1016	997	835	743	888	816	897	905
HORVU.MOREX.r3.3HG0260210	3H	240458987	240514210	-	55224	1099	703	1184	598	834	780	1106	1193
HORVU.MOREX.r3.3HG0260270	3H	241347096	241384805	-	37710	3829	3106	4645	2177	2521	3085	3499	3407
HORVU.MOREX.r3.3HG0260350	3H	241652870	241661912	+	9043	4879	3852	8581	4335	4197	4805	5611	5708
HORVU.MOREX.r3.3HG0260400	3H	242605248	242605481	+	234	146	91	102	65	115	80	92	123
HORVU.MOREX.r3.3HG0260410	3H	242607487	242623971	+	16485	765	534	537	561	579	503	573	642
HORVU.MOREX.r3.3HG0260530	3H	243217481	243225826	-	8346	2140	1586	1710	1626	1582	1731	1397	1993
HORVU.MOREX.r3.3HG0260560	3H	243852390	243852883	+	494	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0260580	3H	244498448	244518418	-	19971	899	637	697	615	510	838	553	782
HORVU.MOREX.r3.3HG0260610	3H	245145562	245147380	-	1819	0	0	0	0	0	0	2	0
HORVU.MOREX.r3.3HG0260690	3H	246657170	246658432	+	1263	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0260700	3H	246658736	246658990	+	255	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0260740	3H	247130617	247133010	-	2394	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0260780	3H	248068222	248068599	+	378	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0260790	3H	248068701	248069340	+	640	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0260800	3H	248137176	248154730	+	17555	7358	4346	10420	3893	3737	5238	6976	6597
HORVU.MOREX.r3.3HG0260850	3H	248315066	248315629	+	564	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0260890	3H	248556915	248557852	+	938	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0260920	3H	248833091	248836412	-	3322	638	639	299	508	645	723	504	570
HORVU.MOREX.r3.3HG0260930	3H	249141242	249169773	+	28532	4551	4824	3590	2469	3781	5266	3862	4362
HORVU.MOREX.r3.3HG0260960	3H	249349195	249378111	-	28917	3180	2778	2316	2180	2193	2706	2454	2506
HORVU.MOREX.r3.3HG0260990	3H	249558455	249563469	-	5015	779	689	698	542	539	833	641	731
HORVU.MOREX.r3.3HG0261020	3H	249759712	249760138	-	427	258	202	195	182	120	149	186	205
HORVU.MOREX.r3.3HG0261050	3H	250304299	250304797	-	499	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0261080	3H	250647755	250648159	-	405	1	2	4	2	0	0	0	6
HORVU.MOREX.r3.3HG0261260	3H	250692203	250693819	+	1617	13	5	11	4	2	0	22	8
HORVU.MOREX.r3.3HG0261270	3H	250748388	250770729	-	22342	2241	2044	2374	1399	1713	2514	1752	2054
HORVU.MOREX.r3.3HG0261330	3H	251288708	251289115	+	408	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0261340	3H	251290190	251290833	-	644	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0261370	3H	251319439	251342562	-	23124	623	569	711	503	429	492	604	599
HORVU.MOREX.r3.3HG0261410	3H	251980979	252035864	+	54886	332	246	306	222	254	242	344	323
HORVU.MOREX.r3.3HG0261530	3H	253297350	253330795	+	33446	4891	4988	9105	5554	5244	5175	5746	6288
HORVU.MOREX.r3.3HG0261680	3H	253647495	253647824	+	330	0	0	0	0	1	0	0	0
HORVU.MOREX.r3.3HG0261880	3H	255019046	255036310	-	17265	1498	1096	1398	1165	1043	1175	1158	1309
HORVU.MOREX.r3.3HG0261980	3H	256256165	256270547	-	14383	964	667	1019	819	613	769	678	799
HORVU.MOREX.r3.3HG0261990	3H	256474951	256475235	+	285	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0262020	3H	257064068	257109302	+	45235	2221	1477	1818	1228	1390	1677	1738	1978
HORVU.MOREX.r3.3HG0262030	3H	257354514	257356746	+	2233	0	0	0	0	2	0	0	0
HORVU.MOREX.r3.3HG0262040	3H	257357458	257358118	+	661	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0262050	3H	257358864	257359418	-	555	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0262060	3H	257988609	257991368	+	2760	1	3	0	1	0	0	1	0
HORVU.MOREX.r3.3HG0262130	3H	258733886	258738755	+	4870	1720	1563	1077	1126	1778	1867	1276	1605
HORVU.MOREX.r3.3HG0262210	3H	259345494	259350771	-	5278	828	524	474	490	645	656	602	579
HORVU.MOREX.r3.3HG0262290	3H	261286549	261312289	-	25741	3418	2390	3066	2060	2483	2774	2745	3078
HORVU.MOREX.r3.3HG0262420	3H	262841532	262842062	+	531	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0262470	3H	263170976	263171350	-	375	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0262510	3H	264160681	264161388	+	708	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0262520	3H	264176714	264177196	-	483	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0262550	3H	264265964	264266671	-	708	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0262570	3H	264408822	264409402	-	581	3	3	5	1	1	0	1	4
HORVU.MOREX.r3.3HG0262630	3H	266339638	266346343	-	6706	2773	2793	2052	2235	2511	2743	2249	2950
HORVU.MOREX.r3.3HG0262740	3H	267089120	267089620	-	501	0	0	0	1	0	0	0	0
HORVU.MOREX.r3.3HG0262750	3H	267091042	267102826	+	11785	538	544	523	342	369	452	446	453
HORVU.MOREX.r3.3HG0262940	3H	270718780	270750464	-	31685	943	649	466	506	305	582	452	565
HORVU.MOREX.r3.3HG0263050	3H	272475334	272492881	+	17548	2168	1781	1867	1724	1883	1990	1785	2154
HORVU.MOREX.r3.3HG0263080	3H	272801176	272801913	-	738	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0263100	3H	273401193	273453728	+	52536	1793	2061	1129	1214	1356	1554	1425	1430
HORVU.MOREX.r3.3HG0263250	3H	274055866	274056207	-	342	0	0	0	1	0	0	0	0
HORVU.MOREX.r3.3HG0263400	3H	277534425	277539362	-	4938	1577	1221	1031	1163	1105	1562	967	1378
HORVU.MOREX.r3.3HG0263410	3H	277933880	277962988	-	29109	375	359	300	198	247	312	310	329
HORVU.MOREX.r3.3HG0263430	3H	278377338	278388042	-	10705	931	937	862	760	824	1024	813	1020
HORVU.MOREX.r3.3HG0263470	3H	279738665	279739438	+	774	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0263480	3H	279964681	279965055	-	375	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0263490	3H	279974206	279977187	+	2982	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0263530	3H	280411825	280412532	-	708	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0263540	3H	280778680	280779453	-	774	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0263560	3H	281731207	281776947	+	45741	732	678	1385	672	597	685	807	981
HORVU.MOREX.r3.3HG0263580	3H	282207639	282208131	+	493	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0263620	3H	282870538	282898738	-	28201	938	980	997	674	821	1140	826	940
HORVU.MOREX.r3.3HG0263660	3H	283729913	283776594	-	46682	825	621	765	482	590	629	629	681
HORVU.MOREX.r3.3HG0263670	3H	284871461	284872399	+	939	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0263750	3H	284914181	284914933	+	753	3	2	4	0	4	4	2	6
HORVU.MOREX.r3.3HG0263780	3H	284921880	284922776	+	897	8	5	9	0	11	3	8	7
HORVU.MOREX.r3.3HG0263830	3H	284954934	284956745	+	1812	0	0	0	0	1	0	0	0
HORVU.MOREX.r3.3HG0263860	3H	285189384	285194164	-	4781	3467	3010	2535	2227	2422	3394	2710	3223
HORVU.MOREX.r3.3HG0263870	3H	285243937	285244626	-	690	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0263900	3H	286124956	286125549	-	594	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0263930	3H	286213451	286220436	-	6986	1131	981	1003	884	1045	986	979	1058
HORVU.MOREX.r3.3HG0264010	3H	286924306	286924662	+	357	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0264030	3H	287407220	287456676	-	49457	1460	1104	1602	672	880	1201	1220	1228
HORVU.MOREX.r3.3HG0264060	3H	288210785	288211201	-	417	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0264330	3H	289673662	289675306	-	1645	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0264440	3H	290961607	290985771	-	24165	534	443	378	301	320	515	353	376
HORVU.MOREX.r3.3HG0264460	3H	291109133	291109855	+	723	0	1	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0264530	3H	291848742	291849263	-	522	573	340	759	494	289	458	779	702
HORVU.MOREX.r3.3HG0264540	3H	291850799	291850999	-	201	188	96	212	98	61	126	214	202
HORVU.MOREX.r3.3HG0264580	3H	292281214	292333529	+	52316	471	411	505	292	335	612	503	416
HORVU.MOREX.r3.3HG0264700	3H	293416514	293441107	-	24594	772	553	538	522	610	488	566	644
HORVU.MOREX.r3.3HG0264720	3H	293593962	293594957	-	996	0	0	0	0	0	0	2	2
HORVU.MOREX.r3.3HG0264740	3H	294070678	294092080	+	21403	4162	3034	2986	2743	2859	2946	2857	3544
HORVU.MOREX.r3.3HG0264760	3H	294093243	294133700	-	40458	1055	951	925	706	806	917	824	1004
HORVU.MOREX.r3.3HG0264770	3H	294386163	294386630	+	468	13	19	9	12	13	22	18	11
HORVU.MOREX.r3.3HG0264800	3H	295587140	295592171	+	5032	152	330	135	145	301	375	180	209
HORVU.MOREX.r3.3HG0264850	3H	296413290	296414384	-	1095	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0264900	3H	296928570	296934039	+	5470	3985	2882	2676	2725	2994	3372	2983	3628
HORVU.MOREX.r3.3HG0264930	3H	297256154	297259636	+	3483	592	386	495	535	444	543	464	496
HORVU.MOREX.r3.3HG0264990	3H	298067836	298070374	-	2539	3438	4173	3007	3163	3540	4254	2949	3778
HORVU.MOREX.r3.3HG0265040	3H	298847892	298896084	-	48193	2021	1448	1737	881	1172	1584	1329	1461
HORVU.MOREX.r3.3HG0265140	3H	300412128	300412952	+	825	129	109	92	105	65	143	66	112
HORVU.MOREX.r3.3HG0265180	3H	300426810	300427499	+	690	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0265190	3H	300767482	300781365	+	13884	2058	1822	1626	1710	1730	1843	1669	2027
HORVU.MOREX.r3.3HG0265210	3H	301082037	301085955	-	3919	920	624	623	618	549	743	527	722
HORVU.MOREX.r3.3HG0265220	3H	301617534	301617923	+	390	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0265260	3H	301881962	301883566	-	1605	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0265300	3H	302484468	302496976	-	12509	574	496	312	375	400	480	295	426
HORVU.MOREX.r3.3HG0265310	3H	302567493	302568492	+	1000	0	0	0	0	1	0	0	0
HORVU.MOREX.r3.3HG0265330	3H	302600728	302602136	-	1409	1029	1040	1395	942	951	1157	985	1249
HORVU.MOREX.r3.3HG0265340	3H	302671678	302671908	+	231	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0265480	3H	303227169	303227486	+	318	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0265530	3H	303550512	303552122	+	1611	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0265560	3H	304075527	304079080	-	3554	6335	5560	5182	5407	5158	4964	5051	6109
HORVU.MOREX.r3.3HG0265580	3H	304237348	304237728	-	381	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0265690	3H	305194808	305200716	-	5909	1527	1298	1904	1383	1032	1715	1295	1475
HORVU.MOREX.r3.3HG0265700	3H	305570955	305595863	+	24909	2206	1674	1853	1209	1481	1892	1626	1814
HORVU.MOREX.r3.3HG0265760	3H	306180581	306197398	+	16818	1206	1121	1260	878	1195	1158	1027	1376
HORVU.MOREX.r3.3HG0265800	3H	307067246	307072216	+	4971	948	731	964	804	721	756	779	820
HORVU.MOREX.r3.3HG0265860	3H	307740468	307742676	+	2209	799	692	511	664	546	686	657	710
HORVU.MOREX.r3.3HG0265880	3H	307885336	307920834	+	35499	636	448	708	326	387	572	457	509
HORVU.MOREX.r3.3HG0265960	3H	308316013	308316387	-	375	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0265970	3H	308324416	308325253	-	838	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0265990	3H	308685207	308690901	+	5695	45703	33031	48296	43842	21999	46013	36780	42560
HORVU.MOREX.r3.3HG0266000	3H	308906039	308911862	-	5824	2552	2732	2322	2194	2402	2787	2170	2890
HORVU.MOREX.r3.3HG0266020	3H	309567151	309569638	-	2488	1818	2707	908	1402	2459	1878	1422	1824
HORVU.MOREX.r3.3HG0266040	3H	309725880	309727023	+	1144	16	12	9	9	23	18	4	14
HORVU.MOREX.r3.3HG0266050	3H	309730476	309734312	-	3837	3288	2543	2147	2727	2616	2871	2427	3068
HORVU.MOREX.r3.3HG0266070	3H	310137661	310144655	-	6995	944	906	621	704	680	868	624	822
HORVU.MOREX.r3.3HG0266090	3H	310279187	310280329	-	1143	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266110	3H	311162100	311163732	-	1633	2	0	0	2	8	1	2	2
HORVU.MOREX.r3.3HG0266150	3H	311982950	311983225	-	276	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266160	3H	312134636	312135462	-	827	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266170	3H	312138845	312145947	+	7103	559	395	427	372	388	521	522	539
HORVU.MOREX.r3.3HG0266190	3H	312433123	312436905	-	3783	2337	1851	1753	1766	1445	2025	1652	2123
HORVU.MOREX.r3.3HG0266220	3H	312558661	312559548	+	888	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266250	3H	313230938	313231875	-	938	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266280	3H	313259837	313283093	+	23257	4190	3862	7469	4046	4088	4305	5706	5431
HORVU.MOREX.r3.3HG0266310	3H	313926139	313930815	+	4677	6597	7726	14642	9734	6542	7657	8535	7590
HORVU.MOREX.r3.3HG0266400	3H	314137934	314138638	-	705	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266410	3H	314484839	314485174	-	336	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266440	3H	314507700	314519769	-	12070	4045	3605	3492	2923	3221	4015	3327	3737
HORVU.MOREX.r3.3HG0266450	3H	314843209	314861911	-	18703	299	236	281	153	128	248	220	267
HORVU.MOREX.r3.3HG0266530	3H	316291934	316295885	+	3952	10	20	3	10	10	4	7	22
HORVU.MOREX.r3.3HG0266660	3H	317484472	317484741	-	270	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266690	3H	317710723	317711496	+	774	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266710	3H	317819508	317820168	+	661	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266740	3H	317914974	317916304	-	1331	749	597	514	630	548	811	543	712
HORVU.MOREX.r3.3HG0266750	3H	318018914	318019847	+	934	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266800	3H	318887456	318889007	-	1552	55	23	49	38	8	30	36	43
HORVU.MOREX.r3.3HG0266820	3H	320226032	320231956	+	5925	2516	2576	2088	2164	2110	2760	2084	2858
HORVU.MOREX.r3.3HG0266840	3H	320811278	320815618	+	4341	3520	2745	4193	2968	2553	3113	3350	3412
HORVU.MOREX.r3.3HG0266860	3H	321044483	321044791	-	309	1	0	0	0	2	0	2	2
HORVU.MOREX.r3.3HG0266910	3H	321751355	321752028	-	674	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266920	3H	321858827	321863807	+	4981	3267	2989	2562	2194	2534	4316	2217	3333
HORVU.MOREX.r3.3HG0266940	3H	322035050	322035757	-	708	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0266950	3H	322086344	322090268	-	3925	1377	2058	1372	787	1250	3435	1338	1368
HORVU.MOREX.r3.3HG0266990	3H	322820759	322823709	+	2951	931	797	692	722	728	889	942	862
HORVU.MOREX.r3.3HG0267000	3H	322824197	322828751	-	4555	1101	633	1267	1016	660	825	949	785
HORVU.MOREX.r3.3HG0267040	3H	323387233	323388350	+	1118	3135	1796	2890	3111	1877	2688	2557	2295
HORVU.MOREX.r3.3HG0267050	3H	323434168	323438151	-	3984	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0267080	3H	323784793	323788204	+	3412	132	89	116	91	78	100	125	129
HORVU.MOREX.r3.3HG0267140	3H	324269565	324272836	+	3272	221	100	89	177	198	142	147	188
HORVU.MOREX.r3.3HG0267150	3H	324408744	324412193	-	3450	694	525	419	418	474	529	446	478
HORVU.MOREX.r3.3HG0267160	3H	324412467	324419433	-	6967	3594	3069	2933	2335	2610	3574	2971	3203
HORVU.MOREX.r3.3HG0267190	3H	325189509	325190408	+	900	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0267220	3H	325492500	325504994	+	12495	4416	3649	3209	2928	3273	4058	3261	3962
HORVU.MOREX.r3.3HG0267230	3H	325509542	325512821	-	3280	1948	2079	3462	2087	2077	2375	2619	2538
HORVU.MOREX.r3.3HG0267250	3H	325732534	325733598	+	1065	1179	1059	928	1117	1054	1017	1036	1312
HORVU.MOREX.r3.3HG0267280	3H	326397845	326406246	+	8402	6158	5894	4937	4065	5124	6722	5060	5829
HORVU.MOREX.r3.3HG0267290	3H	326612250	326615274	+	3025	619	718	650	332	532	1312	452	585
HORVU.MOREX.r3.3HG0267300	3H	326616091	326616591	-	501	0	6	1	2	4	1	6	0
HORVU.MOREX.r3.3HG0267340	3H	326772434	326801193	-	28760	1805	1842	1541	1134	1709	1999	1665	1812
HORVU.MOREX.r3.3HG0267350	3H	326964008	326964781	-	774	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0267360	3H	327060558	327063321	-	2764	13514	10741	19569	13779	12726	12625	13765	16191
HORVU.MOREX.r3.3HG0267430	3H	327522330	327526314	+	3985	50	51	106	50	38	72	100	53
HORVU.MOREX.r3.3HG0267440	3H	327995111	328028464	+	33354	1753	1116	1459	727	963	1169	1102	1204
HORVU.MOREX.r3.3HG0267480	3H	328647767	328648120	-	354	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0267510	3H	328790712	328794381	-	3670	328	360	209	236	326	472	206	348
HORVU.MOREX.r3.3HG0267550	3H	328942757	328947535	-	4779	1281	1240	1028	933	922	1470	920	1246
HORVU.MOREX.r3.3HG0267570	3H	329505251	329506552	-	1302	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0267610	3H	329751314	329769709	+	18396	4224	3069	3782	2243	2744	3976	3312	3579
HORVU.MOREX.r3.3HG0267650	3H	330065813	330068608	-	2796	563	399	839	602	707	611	623	563
HORVU.MOREX.r3.3HG0267680	3H	330255775	330258214	-	2440	297	316	294	224	194	476	265	339
HORVU.MOREX.r3.3HG0267700	3H	330690968	330691631	-	664	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0267730	3H	330809046	330813779	+	4734	2030	1478	1805	1618	1628	1750	1616	1999
HORVU.MOREX.r3.3HG0267770	3H	331639332	331641293	+	1962	370	730	523	173	447	1643	335	345
HORVU.MOREX.r3.3HG0267780	3H	331910927	331911616	+	690	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0267790	3H	332216549	332223120	+	6572	1264	1093	1053	882	881	930	996	1103
HORVU.MOREX.r3.3HG0267820	3H	332538242	332541450	-	3209	11	16	20	10	18	23	21	16
HORVU.MOREX.r3.3HG0267830	3H	332541593	332551659	-	10067	330	427	1433	344	395	419	543	435
HORVU.MOREX.r3.3HG0267870	3H	332828340	332846944	-	18605	80	10	25	18	20	77	13	24
HORVU.MOREX.r3.3HG0267880	3H	332949419	332968336	+	18918	1470	1644	1620	670	976	1846	1125	1316
HORVU.MOREX.r3.3HG0267900	3H	333038028	333038732	+	705	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0267990	3H	333085129	333085455	-	327	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0268090	3H	333322188	333323424	+	1237	452	482	364	350	626	581	389	394
HORVU.MOREX.r3.3HG0268100	3H	333452840	333456613	-	3774	2101	1629	1672	1705	1827	1826	1655	2111
HORVU.MOREX.r3.3HG0268130	3H	333798228	333799721	-	1494	0	0	0	0	0	1	0	1
HORVU.MOREX.r3.3HG0268170	3H	334073938	334078279	-	4342	1041	662	731	700	606	652	624	811
HORVU.MOREX.r3.3HG0268180	3H	334602504	334609099	+	6596	561	350	464	400	384	414	448	527
HORVU.MOREX.r3.3HG0268200	3H	335166152	335168544	+	2393	1380	1810	2053	1314	1712	2114	1615	1791
HORVU.MOREX.r3.3HG0268210	3H	335169171	335170168	+	998	6	0	4	5	3	4	8	7
HORVU.MOREX.r3.3HG0268220	3H	335170809	335175351	-	4543	7216	7198	6797	5469	6655	6263	6349	7186
HORVU.MOREX.r3.3HG0268230	3H	335188983	335189261	+	279	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0268240	3H	335843031	335850852	+	7822	3376	2853	2704	2365	2328	3396	2466	3141
HORVU.MOREX.r3.3HG0268340	3H	336324532	336328512	-	3981	1244	1212	1096	901	1153	1239	942	1277
HORVU.MOREX.r3.3HG0268390	3H	336971135	336993415	-	22281	824	543	1228	634	599	747	882	727
HORVU.MOREX.r3.3HG0268400	3H	337364328	337365395	+	1068	7252	6791	11082	8294	8061	7678	8984	10519
HORVU.MOREX.r3.3HG0268410	3H	337583938	337591684	+	7747	445	429	463	364	356	644	490	559
HORVU.MOREX.r3.3HG0268430	3H	337593577	337597325	-	3749	73	52	42	47	57	91	22	35
HORVU.MOREX.r3.3HG0268490	3H	337936117	337936695	-	579	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0268520	3H	337973494	337974072	-	579	2	0	0	1	0	0	0	0
HORVU.MOREX.r3.3HG0268580	3H	338328674	338332696	-	4023	267	220	179	181	171	163	183	199
HORVU.MOREX.r3.3HG0268620	3H	339311943	339318530	+	6588	1711	1105	1419	1341	1213	1207	1180	1389
HORVU.MOREX.r3.3HG0268630	3H	339906260	339908146	-	1887	1827	1532	1428	1365	1433	1683	1345	1695
HORVU.MOREX.r3.3HG0268720	3H	340206612	340207166	+	555	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0268750	3H	340274757	340275173	+	417	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0268760	3H	340293055	340302562	-	9508	65	28	35	40	48	37	46	34
HORVU.MOREX.r3.3HG0268790	3H	340746641	340749907	+	3267	6	4	4	4	2	8	2	10
HORVU.MOREX.r3.3HG0268800	3H	340751146	340752661	-	1516	2401	3828	7045	3093	3602	4464	3653	4096
HORVU.MOREX.r3.3HG0268810	3H	340825080	340829943	+	4864	976	752	804	757	664	844	858	901
HORVU.MOREX.r3.3HG0268820	3H	340830346	340830852	+	507	32	21	19	14	27	20	7	32
HORVU.MOREX.r3.3HG0268840	3H	340835765	340836769	+	1005	2	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0268950	3H	341169954	341199562	+	29609	407	357	347	214	254	436	357	395
HORVU.MOREX.r3.3HG0269000	3H	341775371	341830160	+	54790	1767	1349	2009	758	1185	1772	1411	1557
HORVU.MOREX.r3.3HG0269020	3H	342174585	342176521	-	1937	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0269030	3H	342532653	342534871	+	2219	131	203	175	148	198	263	169	211
HORVU.MOREX.r3.3HG0269070	3H	342745467	342749181	+	3715	1078	965	923	892	864	1050	816	994
HORVU.MOREX.r3.3HG0269130	3H	343073662	343075651	+	1990	0	0	5	4	2	1	0	2
HORVU.MOREX.r3.3HG0269170	3H	343315796	343316263	-	468	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0269180	3H	343349481	343350587	-	1107	26	11	28	6	6	15	8	10
HORVU.MOREX.r3.3HG0269330	3H	344310622	344311331	-	710	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.3HG0269430	3H	345370489	345398592	-	28104	1435	1038	1035	823	762	1243	905	1150
